bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
waist,band,0992_band_push_sit_up,band push sit-up,abs,shoulders,chest,Attach the band securely to a stable anchor point.,Lie flat on your back with your knees bent and feet flat on the ground.,Hold the band with both hands and extend your arms straight up towards the ceiling.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,band,0993_band_reverse_fly,band reverse fly,delts,upper back,trapezius,Attach the band to a stationary object at chest height.,Stand with your feet shoulder-width apart and hold the band with both hands in front of you.,Keep your arms straight and lift them out to the sides until they are parallel to the ground.,Squeeze your shoulder blades together at the top of the movement.,Slowly lower your arms back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
lower arms,band,0994_band_reverse_wrist_curl,band reverse wrist curl,forearms,forearms,,Sit on a bench or chair with your feet flat on the ground.,"Hold the band with an overhand grip, palms facing down, and wrap it around your fingers.","Rest your forearms on your thighs, with your wrists hanging off the edge.","Slowly curl your wrists upward, squeezing your forearms.","Pause for a moment at the top, then slowly lower your wrists back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,band,0996_band_seated_hip_internal_rotation,band seated hip internal rotation,glutes,hamstrings,quadriceps,Sit on a chair or bench with your back straight and feet flat on the ground.,"Place a resistance band around your thighs, just above your knees.",Keep your knees bent at a 90-degree angle and your feet shoulder-width apart.,"Engage your glutes and slowly rotate your knees outward, pushing against the resistance of the band.","Pause for a moment at the end of the movement, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,band,1011_band_seated_twist,band seated twist,abs,obliques,,Sit on the ground with your legs extended in front of you and your back straight.,Wrap the band around your waist and hold the ends with both hands.,"Engage your abs and slowly twist your torso to one side, keeping your back straight and your feet on the ground.","Pause for a moment at the end of the twist, then slowly return to the starting position.",Repeat the twist to the other side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,
shoulders,band,0997_band_shoulder_press,band shoulder press,delts,triceps,upper back,Stand with your feet shoulder-width apart and place the band under your feet.,"Hold the band with your palms facing forward and raise your hands to shoulder height, elbows bent.","Press the band overhead, fully extending your arms.","Pause for a moment at the top, then slowly lower the band back to shoulder height.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,band,1018_band_shrug,band shrug,traps,shoulders,,"Stand with your feet shoulder-width apart and place the band under your feet, holding the ends with your hands.","Keep your arms straight and relaxed, and let the band hang in front of your thighs.","Engage your traps by shrugging your shoulders upward, lifting the band as high as possible.","Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,band,0998_band_side_triceps_extension,band side triceps extension,triceps,shoulders,,"Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down.","Extend your arms straight out to the sides, keeping them parallel to the ground.","Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still.","Pause for a moment, then slowly extend your arms back out to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
lower legs,band,0999_band_single_leg_calf_raise,band single leg calf raise,calves,ankles,feet,Stand with your feet hip-width apart and place the band around the ball of your left foot.,Hold onto a stable object for balance if needed.,"Slowly raise your left heel off the ground, lifting your body weight onto the ball of your foot.","Pause for a moment at the top, then slowly lower your left heel back down to the starting position.","Repeat for the desired number of repetitions, then switch to the right leg.",,,,,,,,,,
lower legs,band,1000_band_single_leg_reverse_calf_raise,band single leg reverse calf raise,calves,hamstrings,glutes,Stand with your feet hip-width apart and place the band around the ball of your foot.,Hold onto a stable object for balance.,"Slowly raise your heel off the ground, lifting your body weight onto the ball of your foot.","Pause for a moment at the top, then slowly lower your heel back down to the starting position.","Repeat for the desired number of repetitions, then switch to the other leg.",,,,,,,,,,
upper legs,band,1001_band_single_leg_split_squat,band single leg split squat,quads,glutes,hamstrings,Stand with your feet hip-width apart and place a resistance band around your ankles.,Take a big step forward with your right foot and a smaller step back with your left foot.,"Bend your knees and lower your body until your right thigh is parallel to the ground, keeping your left knee slightly above the ground.",Push through your right heel to return to the starting position.,Repeat on the other side.,,,,,,,,,,
upper legs,band,1004_band_squat,band squat,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, with the band placed just above your knees.","Keeping your chest up and core engaged, push your hips back and bend your knees to lower into a squat position.",Make sure your knees are tracking over your toes and your weight is in your heels.,"Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,calves,,,,,,,,
upper legs,band,1003_band_squat_row,band squat row,glutes,hamstrings,quadriceps,Attach the band to a sturdy anchor point at waist height.,Stand facing the anchor point with your feet shoulder-width apart.,Hold the band handles with your palms facing each other and your arms extended in front of you.,"Bend your knees and lower into a squat position, keeping your back straight and chest lifted.","From the squat position, pull the band handles towards your body, squeezing your shoulder blades together.","Pause for a moment at the top, then slowly release the tension and return to the starting position.",back,Repeat for the desired number of repetitions.,,,,,,,
waist,band,1005_band_standing_crunch,band standing crunch,abs,obliques,,Attach the band to a sturdy anchor point at waist height.,Stand facing away from the anchor point with your feet shoulder-width apart.,"Hold the band with both hands and bring it up to your chest, keeping your elbows bent and close to your body.","Engage your abs and slowly crunch forward, bringing your chest towards your knees.","Pause for a moment at the top of the crunch, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
